Rk,Player,Age,Team,Pos,G,GS,MP▼,FG,Dist.,2P,0-3,3-10,10-16,16-3P,3P,0-3,3-10,10-16,16-3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
81,Taurean Prince,29,LAL,PF,78,49,2108,253,17.8,0.378,0.128,0.168,0.059,0.023,0.622,0.699,0.438,0.441,0.308,0.866,0.943,0.014,7,0.41,0.363,3,0,572,0.442,141,356,0.396,112,216,0.519,0.566,50,68,0.735,21,209,230,119,58,35,73,146,697,0,,princta02
82,Victor Wembanyama,20,SAS,C,71,71,2106,551,13,0.668,0.293,0.204,0.089,0.082,0.332,0.706,0.463,0.321,0.33,0.728,0.797,0.158,165,0.056,0.545,1,0,1186,0.465,128,394,0.325,423,792,0.534,0.519,292,367,0.796,161,594,755,274,88,254,260,153,1522,2,ROY-1DPOY-2,wembavi01
83,Jaden McDaniels,23,MIN,SF,72,71,2105,307,13.6,0.594,0.22,0.237,0.107,0.03,0.406,0.783,0.497,0.507,0.263,0.62,0.988,0.092,49,0.608,0.361,2,0,628,0.489,86,255,0.337,221,373,0.592,0.557,57,79,0.722,56,168,224,101,63,42,87,219,757,0,,mcdanja02
84,Brandon Ingram,26,NOP,SF,64,64,2103,500,14.4,0.762,0.147,0.155,0.28,0.179,0.238,0.753,0.449,0.512,0.462,0.415,0.779,0.034,35,0.128,0.355,2,0,1017,0.492,86,242,0.355,414,775,0.534,0.534,246,307,0.801,43,281,324,363,50,40,163,145,1332,1,,ingrabr01
85,Scottie Barnes,22,TOR,SG,60,60,2094,447,12.4,0.686,0.271,0.268,0.079,0.069,0.314,0.733,0.429,0.297,0.446,0.462,0.911,0.084,73,0.149,0.364,1,0,942,0.475,101,296,0.341,346,646,0.536,0.528,196,251,0.781,141,353,494,363,75,88,165,118,1191,4,AS,barnesc01
86,Jusuf Nurkić,29,PHO,C,76,76,2078,320,6.5,0.856,0.504,0.311,0.03,0.011,0.144,0.63,0.446,0.526,0.286,0.651,1,0.104,56,0.1,0.111,0,0,627,0.51,22,90,0.244,298,537,0.555,0.528,167,261,0.64,224,613,837,301,81,80,175,254,829,0,,nurkiju01
87,Myles Turner,27,IND,C,77,77,2076,476,13.2,0.644,0.249,0.253,0.081,0.061,0.356,0.761,0.487,0.568,0.618,0.8,0.991,0.077,66,0.127,0.317,1,0,909,0.524,116,324,0.358,360,585,0.615,0.587,245,317,0.773,113,420,533,100,39,144,109,232,1313,0,,turnemy01
88,Cam Thomas,22,BRK,SG,66,51,2075,526,12.3,0.687,0.203,0.346,0.098,0.039,0.313,0.744,0.451,0.402,0.439,0.418,0.805,0.027,23,0.212,0.435,2,0,1190,0.442,144,396,0.364,382,794,0.481,0.503,286,334,0.856,28,186,214,192,45,16,124,138,1482,0,,thomaca02
89,Collin Sexton,25,UTA,SG,78,51,2075,506,14.8,0.667,0.138,0.225,0.187,0.117,0.333,0.646,0.433,0.462,0.41,0.432,0.674,0.002,2,0.126,0.5,1,0,1038,0.487,128,325,0.394,378,713,0.53,0.549,318,370,0.859,71,134,205,383,62,18,165,154,1458,0,,sextoco01
90,Cade Cunningham,22,DET,PG,62,62,2074,524,13.5,0.713,0.177,0.275,0.154,0.106,0.287,0.618,0.402,0.528,0.427,0.262,0.706,0.022,23,0.116,0.359,5,0,1167,0.449,119,335,0.355,405,832,0.487,0.5,238,274,0.869,33,235,268,464,56,22,212,153,1405,0,,cunnica01
91,Corey Kispert,24,WAS,SF,80,22,2067,386,17.7,0.395,0.2,0.149,0.038,0.009,0.605,0.78,0.525,0.4,0.571,0.752,0.967,0.03,18,0.215,0.379,2,0,794,0.486,184,480,0.383,202,314,0.643,0.602,114,157,0.726,30,195,225,156,41,16,98,141,1070,0,,kispeco01
92,Saddiq Bey,24,ATL,SF,63,51,2062,290,14.5,0.486,0.287,0.155,0.033,0.011,0.514,0.645,0.361,0.261,0.375,0.492,0.982,0.066,44,0.453,0.29,1,0,697,0.416,113,358,0.316,177,339,0.522,0.497,170,203,0.837,167,244,411,92,51,11,54,88,863,0,,beysa01
93,Kelly Oubre Jr.,28,PHI,SF,68,52,2055,387,12.4,0.63,0.308,0.237,0.068,0.017,0.37,0.693,0.356,0.35,0.267,0.552,0.851,0.117,86,0.308,0.33,0,0,878,0.441,101,325,0.311,286,553,0.517,0.498,174,232,0.75,94,247,341,101,77,47,87,194,1049,0,,oubreke01
94,Alperen Şengün,21,HOU,C,63,63,2046,527,7.9,0.887,0.338,0.394,0.115,0.04,0.113,0.69,0.496,0.513,0.385,0.626,1,0.075,64,0.018,0,2,0,982,0.537,33,111,0.297,494,871,0.567,0.553,244,352,0.693,183,406,589,312,76,46,162,211,1331,2,,sengual01
95,Jimmy Butler,34,MIA,PF,60,60,2042,396,9.7,0.817,0.267,0.356,0.139,0.055,0.183,0.679,0.465,0.391,0.409,0.452,0.8,0.057,41,0.483,0.443,0,0,793,0.499,60,145,0.414,336,648,0.519,0.537,394,459,0.858,105,213,318,298,79,17,102,68,1246,1,,butleji01
96,Terry Rozier,29,2TM,SG,61,60,2040,442,17.1,0.384,0.216,0.115,0.022,0.031,0.616,0.675,0.387,0.667,0.353,0.436,0.89,0.031,15,0.363,0.397,0,0,998,0.443,149,410,0.363,293,588,0.498,0.518,172,198,0.869,35,212,247,342,63,21,106,101,1205,0,,roziete01
97,Alex Caruso,29,CHI,SG,71,57,2040,253,15.2,0.589,0.16,0.224,0.112,0.092,0.411,0.563,0.509,0.411,0.467,0.29,0.651,0.002,2,0.28,0.383,2,0,541,0.468,136,333,0.408,117,208,0.563,0.593,73,96,0.76,62,211,273,247,120,70,102,181,715,0,DPOY-10,carusal01
98,Keldon Johnson,24,SAS,SF,69,27,2038,391,13.4,0.574,0.261,0.256,0.038,0.019,0.426,0.636,0.439,0.485,0.5,0.492,0.906,0.038,28,0.3,0.327,1,0,862,0.454,127,367,0.346,264,495,0.533,0.527,175,221,0.792,95,282,377,195,51,20,100,149,1084,0,,johnske04
99,Kyrie Irving,31,DAL,SG,58,58,2030,562,15.1,0.628,0.144,0.226,0.171,0.087,0.372,0.675,0.527,0.518,0.449,0.375,0.653,0.006,6,0.166,0.514,1,0,1131,0.497,173,421,0.411,389,710,0.548,0.573,190,210,0.905,44,246,290,299,74,28,106,112,1487,0,CPOY-7,irvinky01
100,Karl-Anthony Towns,28,MIN,PF,62,62,2026,479,12.7,0.656,0.258,0.29,0.063,0.045,0.344,0.69,0.471,0.45,0.395,0.641,0.971,0.043,35,0.089,0.414,1,0,951,0.504,136,327,0.416,343,624,0.55,0.575,255,292,0.873,94,421,515,189,43,41,177,204,1349,0,AS,townska01
101,Jalen Suggs,22,ORL,SG,75,75,2025,336,16.7,0.461,0.204,0.137,0.078,0.041,0.539,0.712,0.48,0.321,0.483,0.486,0.869,0.048,26,0.252,0.392,1,0,714,0.471,153,385,0.397,183,329,0.556,0.578,118,156,0.756,48,181,229,205,106,47,132,205,943,0,DPOY-10,suggsja01
102,Keyonte George,20,UTA,PG,75,44,2023,319,17.9,0.46,0.075,0.228,0.104,0.053,0.54,0.689,0.425,0.447,0.302,0.366,0.701,0.015,12,0.127,0.357,3,0,815,0.391,147,440,0.334,172,375,0.459,0.482,189,223,0.848,15,196,211,332,36,7,188,91,974,0,,georgke01
103,Josh Giddey,21,OKC,SG,80,80,2011,402,10.9,0.713,0.283,0.336,0.064,0.03,0.287,0.671,0.425,0.519,0.4,0.522,0.963,0.006,4,0.37,0.367,0,0,847,0.475,82,243,0.337,320,604,0.53,0.523,100,124,0.806,111,403,514,386,51,44,168,111,986,3,,giddejo01
104,Bobby Portis,28,MIL,PF,82,4,2008,466,12.9,0.732,0.215,0.218,0.198,0.101,0.268,0.731,0.485,0.478,0.409,0.552,0.98,0.028,22,0.419,0.408,0,0,918,0.508,100,246,0.407,366,672,0.545,0.562,98,124,0.79,142,465,607,104,68,34,91,189,1130,0,6MOY-3,portibo01
105,Aaron Nesmith,24,IND,SF,72,47,1995,315,15.2,0.474,0.246,0.167,0.052,0.009,0.526,0.699,0.434,0.485,0.667,0.697,0.986,0.052,31,0.419,0.436,0,0,635,0.496,140,334,0.419,175,301,0.581,0.606,107,137,0.781,63,212,275,108,65,49,64,241,877,0,,nesmiaa01
106,Gary Trent Jr.,25,TOR,SG,71,41,1994,361,18.4,0.465,0.113,0.12,0.1,0.131,0.535,0.667,0.441,0.365,0.387,0.574,0.904,0.012,8,0.163,0.378,0,0,847,0.426,178,453,0.393,183,394,0.464,0.531,74,96,0.771,25,163,188,119,77,10,47,96,974,0,,trentga02
107,Norman Powell,30,LAC,SG,76,3,1990,373,16.4,0.5,0.143,0.214,0.091,0.052,0.5,0.736,0.482,0.429,0.4,0.689,0.916,0.023,15,0.32,0.545,2,0,768,0.486,167,384,0.435,206,384,0.536,0.594,143,172,0.831,16,179,195,82,43,22,66,137,1056,0,6MOY-4,powelno01
108,Immanuel Quickley,24,2TM,SG,68,38,1985,388,16.8,0.516,0.114,0.224,0.125,0.053,0.484,0.696,0.405,0.446,0.319,0.387,0.667,0.006,5,0.189,0.293,0,0,894,0.434,171,433,0.395,217,461,0.471,0.53,209,245,0.853,17,242,259,331,50,10,101,119,1156,0,,quickim01
109,Brandin Podziemski,20,GSW,SG,74,28,1968,271,13.8,0.608,0.186,0.322,0.07,0.03,0.392,0.685,0.443,0.333,0.333,0.552,0.767,0.008,4,0.192,0.422,1,0,597,0.454,90,234,0.385,181,363,0.499,0.529,50,79,0.633,118,309,427,273,61,14,88,122,682,0,ROY-5,podzibr01
110,Naz Reid,24,MIN,PF,81,14,1964,406,14.5,0.521,0.212,0.271,0.036,0.001,0.479,0.717,0.403,0.484,0,0.624,1,0.049,39,0.275,0.411,2,0,851,0.477,169,408,0.414,237,443,0.535,0.576,109,148,0.736,73,350,423,106,63,73,111,172,1090,0,6MOY-1,reidna01
111,Caris LeVert,29,CLE,SG,68,10,1958,345,13.6,0.595,0.261,0.212,0.11,0.012,0.405,0.617,0.379,0.389,0.4,0.414,0.769,0.043,33,0.175,0.328,1,0,820,0.421,108,332,0.325,237,488,0.486,0.487,154,201,0.766,39,241,280,346,76,34,117,121,952,0,,leverca01
112,Royce O'Neale,30,2TM,SF,79,14,1954,214,21.5,0.217,0.109,0.085,0.019,0.004,0.783,0.627,0.326,0.5,0.5,0.672,0.936,0.007,3,0.166,0.443,7,0,539,0.397,156,422,0.37,58,117,0.496,0.542,24,35,0.686,60,317,377,219,59,44,73,174,608,0,,onealro01
113,Jonathan Kuminga,21,GSW,PF,74,46,1949,456,9.4,0.809,0.296,0.364,0.109,0.039,0.191,0.749,0.519,0.394,0.353,0.615,0.906,0.182,138,0.279,0.435,1,0,862,0.529,53,165,0.321,403,697,0.578,0.56,223,299,0.746,92,263,355,163,55,36,122,169,1188,0,,kuminjo01
114,Donovan Mitchell,27,CLE,SG,55,55,1942,503,16.4,0.546,0.209,0.139,0.097,0.101,0.454,0.702,0.411,0.462,0.455,0.249,0.56,0.019,18,0.051,0.32,1,0,1089,0.462,182,494,0.368,321,595,0.539,0.545,275,318,0.865,46,234,280,333,101,30,154,118,1463,0,AS,mitchdo01
115,Trae Young,25,ATL,PG,54,54,1942,433,17.6,0.535,0.121,0.189,0.157,0.067,0.465,0.598,0.424,0.456,0.471,0.252,0.337,0.001,0,0.053,0.48,5,0,1008,0.43,175,469,0.373,258,539,0.479,0.516,348,407,0.855,23,126,149,583,72,11,235,109,1389,0,AS,youngtr01
116,Dorian Finney-Smith,30,BRK,PF,68,56,1934,215,17.6,0.342,0.225,0.096,0.012,0.01,0.658,0.687,0.306,0.667,0,0.745,0.974,0.057,24,0.348,0.35,2,0,511,0.421,117,336,0.348,98,175,0.56,0.535,33,46,0.717,109,208,317,107,56,38,59,150,580,0,,finnedo01
117,Tyus Jones,27,WAS,PG,66,66,1933,326,14.8,0.616,0.111,0.297,0.174,0.033,0.384,0.635,0.49,0.56,0.5,0.418,0.792,0,0,0.246,0.476,0,0,666,0.489,106,256,0.414,220,410,0.537,0.569,32,40,0.8,20,159,179,485,71,18,66,48,790,1,,jonesty01
118,Jonas Valančiūnas,31,NOP,C,82,82,1925,402,8.9,0.833,0.344,0.323,0.115,0.051,0.167,0.729,0.526,0.542,0.486,0.619,1,0.083,54,0.2,0.167,0,0,719,0.559,37,120,0.308,365,599,0.609,0.585,161,205,0.785,186,535,721,173,32,68,111,218,1002,0,,valanjo01
119,Nickeil Alexander-Walker,25,MIN,SG,82,20,1921,236,17.7,0.377,0.149,0.145,0.046,0.037,0.623,0.65,0.449,0.44,0.35,0.581,0.977,0.02,9,0.469,0.452,2,0,538,0.439,131,335,0.391,105,203,0.517,0.56,52,65,0.8,35,132,167,204,64,42,76,143,655,0,,alexani01
120,Andrew Wiggins,28,GSW,SF,71,59,1920,353,13.2,0.674,0.203,0.292,0.083,0.096,0.326,0.639,0.491,0.338,0.36,0.592,0.901,0.049,37,0.157,0.35,1,0,780,0.453,91,254,0.358,262,526,0.498,0.511,142,189,0.751,108,213,321,119,42,41,87,147,939,0,,wiggian01
121,Duncan Robinson,29,MIA,SF,68,36,1905,304,19.6,0.299,0.121,0.144,0.027,0.007,0.701,0.695,0.526,0.444,0.2,0.752,0.914,0.004,3,0.222,0.419,2,0,675,0.45,187,473,0.395,117,202,0.579,0.589,80,90,0.889,15,158,173,192,46,16,95,163,875,0,,robindu01
122,Darius Garland,24,CLE,PG,57,57,1901,375,11,0.689,0.303,0.304,0.043,0.039,0.311,0.783,0.493,0.438,0.276,0.73,0.988,0.15,106,0.431,0.37,0,0,841,0.446,132,356,0.371,243,485,0.501,0.524,146,175,0.834,30,122,152,373,74,7,176,95,1028,0,,garlada01
123,John Collins,26,UTA,PF,68,66,1901,397,15.7,0.577,0.17,0.214,0.115,0.077,0.423,0.643,0.406,0.505,0.446,0.346,0.652,0,0,0.14,0.44,0,0,746,0.532,86,232,0.371,311,514,0.605,0.59,147,185,0.795,157,418,575,77,40,61,98,191,1027,0,,collijo01
124,Isaiah Hartenstein,25,NYK,C,75,49,1896,235,3.5,0.992,0.641,0.26,0.085,0.005,0.008,0.709,0.568,0.387,1,0.654,1,0.258,86,0,,0,0,365,0.644,1,3,0.333,234,362,0.646,0.645,111,157,0.707,244,382,626,188,87,85,93,210,582,0,,harteis01
125,Eric Gordon,35,PHO,SG,68,24,1893,274,18.4,0.358,0.175,0.149,0.026,0.008,0.642,0.731,0.391,0.5,0.2,0.653,0.933,0.002,1,0.202,0.413,1,0,618,0.443,150,397,0.378,124,221,0.561,0.565,51,64,0.797,16,106,122,139,66,30,73,79,749,0,,gordoer01
126,Jalen Johnson,22,ATL,SF,56,52,1889,359,10.6,0.715,0.342,0.272,0.083,0.019,0.285,0.696,0.471,0.431,0.462,0.705,0.972,0.15,98,0.285,0.298,1,0,702,0.511,71,200,0.355,288,502,0.574,0.562,107,147,0.728,74,414,488,203,67,47,101,133,896,1,,johnsja05
127,Isaac Okoro,23,CLE,SF,69,42,1887,235,12.5,0.552,0.388,0.15,0.008,0.006,0.448,0.64,0.403,0,1,0.795,0.976,0.046,18,0.642,0.399,1,0,480,0.49,84,215,0.391,151,265,0.57,0.577,93,137,0.679,67,139,206,132,57,34,54,140,647,0,,okorois01
128,Clint Capela,29,ATL,C,73,73,1883,353,2.5,0.998,0.693,0.291,0.011,0.003,0.002,0.636,0.433,0.429,0,0.68,,0.252,144,0,,1,0,618,0.571,0,1,0,353,617,0.572,0.571,130,206,0.631,335,441,776,91,43,106,74,164,836,0,,capelca01
129,Terance Mann,27,LAC,SG,75,71,1873,254,13.1,0.586,0.292,0.193,0.085,0.016,0.414,0.833,0.463,0.405,0.25,0.639,0.944,0.105,45,0.515,0.381,1,0,493,0.515,71,204,0.348,183,289,0.633,0.587,79,95,0.832,87,167,254,119,43,15,48,145,658,0,,mannte01
130,Malik Monk,25,SAC,SG,72,0,1872,396,16.2,0.526,0.169,0.189,0.108,0.06,0.474,0.656,0.456,0.5,0.444,0.464,0.784,0.049,41,0.132,0.429,0,0,893,0.443,148,423,0.35,248,470,0.528,0.526,170,205,0.829,28,184,212,370,45,39,150,156,1110,0,CPOY-126MOY-2,monkma01
131,Bruce Brown,27,2TM,SG,67,44,1866,278,11.6,0.718,0.244,0.285,0.148,0.041,0.282,0.718,0.44,0.477,0.375,0.618,0.925,0.021,12,0.39,0.344,1,0,582,0.478,53,164,0.323,225,418,0.538,0.523,117,142,0.824,53,231,284,192,59,17,86,148,726,0,,brownbr01
132,Jamal Murray,26,DEN,PG,59,59,1861,474,15.2,0.654,0.166,0.167,0.169,0.151,0.346,0.652,0.461,0.455,0.47,0.337,0.6,0.019,19,0.111,0.289,2,0,986,0.481,145,341,0.425,329,645,0.51,0.554,157,184,0.853,42,200,242,384,57,39,125,104,1250,0,,murraja01
133,RJ Barrett,23,2TM,SG,58,58,1838,436,10.4,0.716,0.364,0.276,0.057,0.019,0.284,0.694,0.42,0.3,0.412,0.592,0.989,0.05,39,0.352,0.409,0,0,880,0.495,90,250,0.36,346,630,0.549,0.547,208,291,0.715,53,262,315,193,31,22,126,129,1170,0,,barrerj01
134,Georges Niang,30,CLE,PF,82,10,1831,284,17.9,0.373,0.12,0.196,0.049,0.008,0.627,0.684,0.524,0.548,0.2,0.741,0.973,0,0,0.354,0.343,0,0,632,0.449,149,396,0.376,135,236,0.572,0.567,51,60,0.85,22,256,278,98,30,18,72,192,768,0,,niangge01
135,Jerami Grant,29,POR,PF,54,54,1830,383,13.2,0.675,0.214,0.255,0.096,0.109,0.325,0.599,0.406,0.415,0.441,0.445,0.973,0.028,18,0.333,0.467,0,0,850,0.451,111,276,0.402,272,574,0.474,0.516,255,312,0.817,37,154,191,152,45,34,116,117,1132,0,,grantje01
136,Rui Hachimura,25,LAL,PF,68,39,1826,363,12.6,0.657,0.296,0.197,0.09,0.072,0.343,0.81,0.398,0.525,0.367,0.796,0.99,0.127,77,0.457,0.443,0,0,676,0.537,98,232,0.422,265,444,0.597,0.609,99,134,0.739,58,236,294,81,41,25,46,101,923,0,,hachiru01
137,Payton Pritchard,26,BOS,PG,82,5,1825,297,19.1,0.398,0.132,0.117,0.083,0.066,0.602,0.762,0.486,0.566,0.476,0.273,0.85,0,0,0.251,0.438,5,1,635,0.468,147,382,0.385,150,253,0.593,0.583,46,56,0.821,70,195,265,281,39,6,61,106,787,0,,pritcpa01
138,Lauri Markkanen,26,UTA,PF,55,55,1820,427,15.7,0.507,0.175,0.24,0.061,0.03,0.493,0.724,0.5,0.389,0.407,0.742,0.983,0.098,77,0.178,0.436,1,0,890,0.48,175,439,0.399,252,451,0.559,0.578,249,277,0.899,122,327,449,110,50,26,77,100,1278,0,,markkla01
139,Cole Anthony,23,ORL,PG,81,0,1817,332,14.6,0.624,0.187,0.247,0.089,0.102,0.376,0.61,0.422,0.433,0.39,0.402,0.775,0.011,6,0.204,0.397,4,0,763,0.435,93,275,0.338,239,488,0.49,0.496,180,218,0.826,64,247,311,236,64,37,126,175,937,0,,anthoco01
140,Reggie Jackson,33,DEN,PG,82,23,1817,326,14.9,0.64,0.152,0.244,0.169,0.075,0.36,0.647,0.484,0.434,0.316,0.28,0.892,0.014,9,0.204,0.321,3,0,756,0.431,102,284,0.359,224,472,0.475,0.499,79,98,0.806,33,122,155,308,44,13,106,149,833,0,,jacksre01
141,Daniel Gafford,25,2TM,PF,74,66,1815,348,2.7,1,0.667,0.302,0.027,0.004,0,0.813,0.566,0.385,0.5,0.761,,0.392,177,,,0,0,480,0.725,0,0,,348,480,0.725,0.725,118,175,0.674,195,367,562,115,65,153,74,227,814,0,,gaffoda01
142,Ivica Zubac,26,LAC,C,68,68,1794,337,3.7,1,0.493,0.466,0.04,0,0,0.711,0.599,0.476,,0.772,,0.245,112,,,0,0,519,0.649,0,0,,337,519,0.649,0.649,120,166,0.723,196,430,626,93,22,83,79,180,794,0,,zubaciv01
143,Deandre Ayton,25,POR,C,55,55,1784,427,8.9,0.987,0.255,0.308,0.268,0.155,0.013,0.764,0.541,0.453,0.552,0.749,1,0.117,80,0.4,0.25,1,0,749,0.57,1,10,0.1,426,739,0.576,0.571,65,79,0.823,176,433,609,90,56,42,99,109,920,0,,aytonde01
144,Derrick Jones Jr.,26,DAL,SF,76,66,1783,239,13.2,0.517,0.327,0.168,0.018,0.004,0.483,0.691,0.494,0.444,0,0.764,0.988,0.158,62,0.586,0.343,0,0,495,0.483,82,239,0.343,157,256,0.613,0.566,97,136,0.713,82,168,250,75,53,51,65,121,657,0,,jonesde02
145,Kyle Anderson,30,MIN,PF,79,10,1782,199,9,0.889,0.192,0.48,0.189,0.028,0.111,0.627,0.438,0.476,0.5,0.511,1,0.025,10,0.688,0.303,1,0,433,0.46,11,48,0.229,188,385,0.488,0.472,97,137,0.708,60,213,273,331,71,47,91,128,506,0,,anderky01
146,Jalen Duren,20,DET,C,61,60,1777,349,3.9,0.993,0.521,0.397,0.055,0.02,0.007,0.741,0.536,0.29,0.182,0.676,,0.296,156,0,,0,0,564,0.619,0,4,0,349,560,0.623,0.619,143,181,0.79,192,517,709,147,33,47,129,192,841,0,,durenja01
147,Bradley Beal,30,PHO,SG,53,53,1767,377,13.5,0.68,0.233,0.193,0.132,0.122,0.32,0.725,0.472,0.474,0.433,0.442,0.861,0.034,22,0.311,0.438,0,0,735,0.513,101,235,0.43,276,500,0.552,0.582,109,134,0.813,54,178,232,265,52,27,131,127,964,0,,bealbr01
148,Scoot Henderson,19,POR,PG,62,32,1765,307,14,0.664,0.237,0.177,0.167,0.083,0.336,0.503,0.312,0.451,0.318,0.277,0.598,0.024,14,0.123,0.333,4,0,797,0.385,87,268,0.325,220,529,0.416,0.44,167,204,0.819,53,141,194,336,48,13,212,195,868,0,,hendesc01
149,Kelly Olynyk,32,2TM,C,78,27,1759,276,3.1,0.997,0.684,0.245,0.059,0.011,0.003,0.782,0.543,0.364,0.25,0.681,,0.354,120,0,,0,0,497,0.555,60,155,0.387,216,342,0.632,0.616,150,180,0.833,108,303,411,347,74,30,152,230,762,0,,olynyke01
150,Nick Richards,26,CHO,C,67,51,1759,260,11.6,0.688,0.344,0.225,0.064,0.054,0.312,0.76,0.545,0.406,0.444,0.537,0.967,0.016,8,0.187,0.448,0,0,376,0.691,0,1,0,260,375,0.693,0.691,132,179,0.737,172,367,539,54,26,74,73,176,652,0,,richani01
151,Caleb Martin,28,MIA,SF,64,23,1756,241,14.5,0.585,0.218,0.216,0.072,0.079,0.415,0.598,0.463,0.325,0.409,0.581,0.926,0.036,18,0.353,0.329,2,0,559,0.431,81,232,0.349,160,327,0.489,0.504,77,99,0.778,74,207,281,143,47,29,77,126,640,0,,martica02
152,Sam Hauser,26,BOS,SF,79,13,1741,249,22.7,0.167,0.072,0.048,0.027,0.02,0.833,0.675,0.407,0.467,0.636,0.731,0.975,0.016,9,0.241,0.518,2,0,558,0.446,197,465,0.424,52,93,0.559,0.623,17,19,0.895,45,231,276,82,40,25,32,99,712,0,,hausesa01
153,Al Horford,37,BOS,C,65,33,1740,214,17.2,0.384,0.184,0.155,0.024,0.021,0.616,0.818,0.523,0.6,0.333,0.726,1,0.045,18,0.384,0.424,0,0,419,0.511,108,258,0.419,106,161,0.658,0.64,26,30,0.867,82,331,413,168,38,62,48,93,562,0,,horfoal01
154,Toumani Camara,23,POR,PF,70,49,1739,197,11.6,0.607,0.352,0.224,0.023,0.009,0.393,0.643,0.367,0.3,0.25,0.504,1,0.068,24,0.448,0.351,0,0,438,0.45,58,172,0.337,139,266,0.523,0.516,75,99,0.758,139,204,343,87,66,33,84,174,527,0,,camarto01
155,Obi Toppin,25,IND,PF,82,28,1730,332,12.7,0.563,0.378,0.157,0.026,0.002,0.437,0.808,0.516,0.4,0,0.796,0.99,0.193,101,0.368,0.398,3,0,579,0.573,102,253,0.403,230,326,0.706,0.661,77,100,0.77,85,235,320,128,47,43,69,143,843,0,,toppiob01
156,Bilal Coulibaly,19,WAS,SF,63,15,1715,188,13.2,0.572,0.313,0.188,0.035,0.037,0.428,0.667,0.346,0.133,0.25,0.621,0.953,0.134,51,0.481,0.393,0,0,432,0.435,64,185,0.346,124,247,0.502,0.509,92,131,0.702,56,200,256,110,57,48,87,137,532,0,,coulibi01
157,OG Anunoby,26,2TM,SF,50,50,1702,282,13.9,0.537,0.31,0.121,0.066,0.04,0.463,0.721,0.357,0.368,0.522,0.689,0.961,0.144,75,0.476,0.457,0,0,577,0.489,102,267,0.382,180,310,0.581,0.577,67,89,0.753,47,161,208,107,68,36,81,119,733,0,,anunoog01
158,Jabari Walker,21,POR,SF,72,23,1700,234,9.8,0.727,0.393,0.263,0.049,0.022,0.273,0.67,0.358,0.2,0.545,0.617,1,0.055,17,0.446,0.29,2,0,509,0.46,41,139,0.295,193,370,0.522,0.5,129,171,0.754,151,357,508,71,42,22,66,173,638,0,,walkeja01
159,Andrew Nembhard,24,IND,PG,68,47,1697,260,14.1,0.672,0.19,0.207,0.197,0.079,0.328,0.737,0.472,0.534,0.488,0.412,0.918,0.002,1,0.31,0.528,0,0,522,0.498,61,171,0.357,199,351,0.567,0.557,45,56,0.804,36,105,141,280,63,6,101,143,626,0,,nembhan01
160,Cason Wallace,20,OKC,SG,82,13,1692,217,16,0.471,0.229,0.12,0.059,0.063,0.529,0.752,0.377,0.5,0.357,0.655,0.969,0.054,19,0.496,0.474,0,0,442,0.491,98,234,0.419,119,208,0.572,0.602,29,37,0.784,52,135,187,120,76,37,45,129,561,0,,wallaca01
161,Kristaps Porziņģis,28,BOS,C,57,57,1690,388,20.3,0.283,0.142,0.1,0.027,0.014,0.717,0.795,0.419,0.471,0.222,0.679,0.893,0.068,38,0.2,0.404,1,0,752,0.516,110,293,0.375,278,459,0.606,0.589,259,302,0.858,97,312,409,115,42,111,89,156,1145,0,,porzikr01
162,Trey Murphy III,23,NOP,SF,57,23,1690,275,14.6,0.61,0.251,0.176,0.126,0.057,0.39,0.751,0.538,0.505,0.395,0.716,0.991,0.128,89,0.024,0.143,2,0,621,0.443,169,445,0.38,106,176,0.602,0.579,123,151,0.815,42,238,280,124,51,28,34,70,842,0,,murphtr02
163,Kyle Lowry,37,2TM,PG,60,55,1690,163,19.7,0.337,0.114,0.111,0.072,0.04,0.663,0.628,0.5,0.333,0.533,0.477,0.806,0,0,0.248,0.452,2,0,377,0.432,98,250,0.392,65,127,0.512,0.562,63,75,0.84,34,160,194,253,59,21,85,146,487,0,,lowryky01
164,Jordan Clarkson,31,UTA,SG,55,19,1682,337,14.9,0.621,0.113,0.339,0.125,0.044,0.379,0.598,0.473,0.412,0.5,0.37,0.703,0.017,13,0.133,0.415,8,0,816,0.413,91,309,0.294,246,507,0.485,0.469,177,201,0.881,49,139,188,277,35,6,146,81,942,1,,clarkjo01
165,De'Andre Hunter,26,ATL,SF,57,37,1681,304,16.1,0.541,0.166,0.149,0.137,0.089,0.459,0.682,0.485,0.429,0.424,0.674,0.906,0.027,13,0.322,0.398,0,0,663,0.459,117,304,0.385,187,359,0.521,0.547,166,196,0.847,31,191,222,87,40,16,83,146,891,0,,huntede01
166,Pat Connaughton,31,MIL,SF,76,3,1676,151,18.2,0.314,0.205,0.104,0.003,0.003,0.686,0.789,0.333,0,1,0.667,0.963,0.017,3,0.403,0.406,0,0,347,0.435,82,238,0.345,69,109,0.633,0.553,44,58,0.759,51,188,239,161,40,19,49,99,428,0,,connapa01
